,County,Rates_opioid,Counts_opioid,Year,Rates_pres,Counts_pres,Rates_heroin,Counts_heroin,Rates_fentanyl,Counts_fentanyl
189,Modoc,0.0,0.0,2018,0.0,0.0,0.0,0.0,0.0,0.0
190,Mono,0.0,0.0,2018,0.0,0.0,0.0,0.0,0.0,0.0
191,Monterey,1.73,8.0,2018,0.86,4.0,0.58,3.0,0.42,2.0
192,Napa,3.97,7.0,2018,1.34,3.0,2.63,4.0,0.0,0.0
193,Nevada,6.28,7.0,2018,2.43,3.0,4.27,5.0,1.4,1.0
194,Orange,7.46,252.0,2018,5.43,185.0,2.61,87.0,2.94,94.0
195,Placer,1.94,8.0,2018,1.37,6.0,0.57,2.0,0.0,0.0
196,Plumas,18.11,2.0,2018,18.11,2.0,0.0,0.0,18.11,2.0
197,Riverside,5.74,144.0,2018,3.08,76.0,2.64,66.0,2.19,52.0
198,Sacramento,4.65,70.0,2018,3.45,52.0,1.01,15.0,0.93,14.0
199,San Benito,3.22,2.0,2018,3.22,2.0,0.0,0.0,1.56,1.0
200,San Bernardino,4.77,106.0,2018,2.46,52.0,2.27,53.0,1.38,30.0
201,San Diego,7.39,268.0,2018,5.45,196.0,2.34,86.0,2.31,82.0
202,San Francisco,15.01,147.0,2018,11.77,116.0,4.54,45.0,7.06,69.0
203,San Joaquin,3.47,26.0,2018,2.08,16.0,1.51,11.0,0.37,3.0
204,San Luis Obispo,4.29,13.0,2018,2.7,8.0,0.22,1.0,0.44,1.0
205,San Mateo,4.83,39.0,2018,4.49,36.0,0.84,7.0,1.69,13.0
206,Santa Barbara,7.09,33.0,2018,2.78,14.0,3.41,14.0,1.96,9.0
207,Santa Clara,2.83,60.0,2018,2.12,45.0,0.93,20.0,0.52,11.0
208,Santa Cruz,8.49,23.0,2018,4.24,11.0,4.52,13.0,0.73,2.0
209,Shasta,5.43,10.0,2018,2.65,4.0,2.7,6.0,0.0,0.0
210,Sierra,0.0,0.0,2018,0.0,0.0,0.0,0.0,0.0,0.0
211,Siskiyou,3.62,2.0,2018,3.62,2.0,0.0,0.0,0.0,0.0
212,Solano,4.02,19.0,2018,3.49,17.0,0.72,3.0,1.27,5.0
213,Sonoma,9.23,43.0,2018,6.41,31.0,5.2,24.0,4.34,21.0
214,Stanislaus,5.96,35.0,2018,4.63,28.0,1.01,5.0,1.15,7.0
215,Sutter,8.72,8.0,2018,5.26,5.0,2.36,2.0,1.33,1.0
216,Tehama,3.52,2.0,2018,3.52,2.0,0.0,0.0,0.0,0.0
217,Trinity,7.47,2.0,2018,7.47,2.0,0.0,0.0,3.0,1.0
