COUNTY,PRECOVID_RATES,PRECOVID_COUNTS,COVID_RATES,COVID_COUNTS,TOTAL_FAC,TOTAL_NUMBER_BEDS,COUNT_NOER_FAC,COUNT_ER_FAC,ER_BEDS,TOTALFAC_PER_POP,TOTALBEDS_PER_POP,ERFAC_PER_POP,ERBEDS_PER_POP,ERFAC_PER_AREA
San Francisco,14.069999999999999,142.8,44.51,443.0,102.0,5334.0,92.0,10.0,2757.0,11.548193896439871,603.9026102314733,1.1321758721999875,312.14088796553654,0.2132455112057107
San Joaquin,6.1739999999999995,46.6,11.1,85.0,110.0,3882.0,103.0,7.0,1152.0,14.076180287717126,496.76119888107166,0.8957569274001806,147.41599719500115,0.0050309910142783
San Luis Obispo,7.397999999999999,20.8,20.56,57.0,69.0,2554.0,65.0,4.0,449.0,24.41397611676249,903.6709420610348,1.4153029632905794,158.86775762936756,0.0012118956214064
San Mateo,4.5920000000000005,38.0,10.06,81.0,97.0,2879.0,90.0,7.0,1367.0,12.723697690189768,377.6445943304777,0.9182049879518388,179.31231693288052,0.0156084793607194
Santa Barbara,7.037999999999999,31.4,3.54,16.0,78.0,2248.0,73.0,5.0,925.0,17.413163011762812,501.8562878261899,1.116228398189924,206.50225366513592,0.0018280729209687
Santa Clara,3.31,69.8,7.1,143.0,210.0,9263.0,199.0,11.0,3492.0,10.943883932293838,482.7295088801801,0.5732510631201534,181.98115567414325,0.008525699939548
Santa Cruz,9.709999999999999,26.8,9.65,26.0,27.0,1097.0,25.0,2.0,328.0,9.928040094573776,403.3725919906456,0.7354103773758351,120.60730188963696,0.0044927345131767
Shasta,9.642,16.8,16.25,27.0,41.0,1660.0,38.0,3.0,607.0,22.674232117773283,918.0298857439914,1.659090154959021,335.6892413533751,0.0007946212297176
Sierra,0.0,0.0,0.0,0.0,2.0,39.0,2.0,0.0,0.0,66.20324395895399,1290.9632571996028,0.0,0.0,0.0
Siskiyou,11.772,5.2,19.37,7.0,13.0,126.0,11.0,2.0,61.0,29.87338281591102,289.54201806190684,4.595905048601695,140.17510398235171,0.0003185789461589
Solano,4.356,19.6,8.71,39.0,56.0,1621.0,51.0,5.0,698.0,12.403677690435211,359.04217028920505,1.107471222360287,154.60298264149606,0.0060844125640395
Sonoma,7.986,40.0,23.69,111.0,80.0,2399.0,74.0,6.0,713.0,16.47032664775324,493.9039203495003,1.2352744985814932,146.79178624810075,0.0038074977044482
Stanislaus,5.17,28.4,13.5,74.0,91.0,3500.0,86.0,5.0,1209.0,16.374917225693142,629.8045086805056,0.8997207266864365,217.5524717127804,0.0033454873607232
Sutter,3.5260000000000007,3.4,10.35,11.0,21.0,495.0,21.0,0.0,0.0,21.38122728244601,503.98607165765605,0.0,0.0,0.0
Tehama,2.1420000000000003,1.6,3.38,2.0,9.0,205.0,8.0,1.0,76.0,13.389669126398475,304.9869078790764,1.4877410140442753,113.06831706736492,0.0003390160080933
Trinity,10.362,1.8,0.0,0.0,3.0,48.0,2.0,1.0,48.0,25.59508574353724,409.52137189659584,8.531695247845747,409.52137189659584,0.0003145380087023
Tulare,2.4699999999999998,11.0,8.22,39.0,75.0,2966.0,72.0,3.0,710.0,15.97760578772792,631.8610502186801,0.6391042315091169,151.2546681238243,0.0006218567256133
Tuolumne,10.522,6.0,3.48,2.0,12.0,362.0,11.0,1.0,72.0,21.95389681668496,662.2758873033297,1.8294914013904136,131.7233809001098,0.0004502671057446
Ventura,8.328,73.2,17.07,141.0,238.0,3456.0,230.0,8.0,1417.0,28.274965725514235,410.58101490494624,0.9504190159836718,168.34296820610786,0.004340718564297
Yolo,4.014,8.6,4.04,10.0,21.0,739.0,19.0,2.0,153.0,9.49092486803095,333.9901655940415,0.903897606479138,69.14816689565406,0.0019708963048665
Yuba,8.709999999999999,6.0,10.64,9.0,11.0,307.0,10.0,1.0,221.0,13.598714303374956,379.5277537396464,1.2362467548522686,273.2105328223513,0.0015821708493015
