,County,Year,Employment,Labor Force,Unemployment,Unemployment Rate,Opioid Death Rate,Opioid Death
108,Lassen,2015,9978.333333333334,10761.666666666666,782.5,7.2749999999999995,10.51,4.0
109,Lassen,2016,9640.833333333334,10361.666666666666,720.8333333333334,6.95,19.86,7.0
110,Lassen,2017,9474.166666666666,10034.166666666666,557.5,5.583333333333332,13.91,5.0
111,Lassen,2018,9376.666666666666,9855.0,477.5,4.8500000000000005,9.28,3.0
112,Lassen,2019,9260.0,9714.166666666666,455.8333333333333,4.691666666666667,16.33,5.0
113,Lassen,2020,8785.0,9461.666666666666,678.3333333333334,7.166666666666667,13.49,5.0
114,Los Angeles,2015,4641041.666666667,4973750.0,332708.3333333333,6.683333333333334,1.91,205.0
115,Los Angeles,2016,4751208.333333333,5018916.666666667,267716.6666666667,5.325,2.44,266.0
116,Los Angeles,2017,4843700.0,5088908.333333333,245216.66666666666,4.8166666666666655,3.0,331.0
117,Los Angeles,2018,4857333.333333333,5094308.333333333,236975.0,4.666666666666667,3.54,385.0
118,Los Angeles,2019,4888575.0,5122841.666666667,234258.33333333334,4.558333333333333,5.28,554.0
119,Los Angeles,2020,4291675.0,4921500.0,629816.6666666666,12.933333333333335,10.56,1099.0
120,Madera,2015,53483.333333333336,59816.666666666664,6333.333333333333,10.566666666666668,5.71,10.0
121,Madera,2016,55416.666666666664,61050.0,5658.333333333333,9.275,5.94,10.0
122,Madera,2017,55966.666666666664,60958.333333333336,4991.666666666667,8.174999999999999,3.75,6.0
123,Madera,2018,56900.0,61275.0,4383.333333333333,7.133333333333334,2.43,4.0
124,Madera,2019,57741.666666666664,62108.333333333336,4350.0,7.0,7.79,12.0
125,Madera,2020,55100.0,61741.666666666664,6650.0,10.79166666666667,4.31,6.0
126,Mariposa,2015,7438.333333333333,8011.666666666667,577.5,7.274999999999999,4.56,1.0
127,Mariposa,2016,7048.333333333333,7567.5,520.0,6.925000000000001,2.22,1.0
128,Mariposa,2017,7208.333333333333,7659.166666666667,450.8333333333333,5.974999999999999,5.51,1.0
129,Mariposa,2018,7240.0,7650.833333333333,411.6666666666667,5.408333333333332,0.0,0.0
130,Mariposa,2019,7267.5,7620.833333333333,355.0,4.691666666666667,23.4,4.0
131,Mariposa,2020,6380.833333333333,7162.5,780.0,10.924999999999999,3.87,1.0
132,Mendocino,2015,37500.833333333336,39829.166666666664,2330.8333333333335,5.866666666666667,8.38,7.0
133,Mendocino,2016,37520.833333333336,39617.5,2095.8333333333335,5.291666666666667,11.13,13.0
134,Mendocino,2017,37763.333333333336,39561.666666666664,1800.8333333333333,4.541666666666666,14.46,13.0
135,Mendocino,2018,37870.0,39456.666666666664,1586.6666666666667,4.033333333333333,12.39,13.0
136,Mendocino,2019,37092.5,38654.166666666664,1560.0,4.041666666666667,16.82,15.0
137,Mendocino,2020,33722.5,37015.833333333336,3293.3333333333335,8.933333333333334,23.45,18.0
138,Merced,2015,101033.33333333333,114075.0,13025.0,11.433333333333335,8.02,19.0
139,Merced,2016,102216.66666666667,114333.33333333333,12133.333333333334,10.6,9.34,22.0
140,Merced,2017,104400.0,115291.66666666667,10891.666666666666,9.458333333333334,4.29,12.0
141,Merced,2018,105525.0,115266.66666666667,9741.666666666666,8.449999999999998,6.21,17.0
142,Merced,2019,106225.0,115766.66666666667,9541.666666666666,8.233333333333333,6.75,17.0
143,Merced,2020,100758.33333333333,114750.0,13975.0,12.191666666666668,9.34,27.0
144,Stanislaus,2015,217966.66666666666,240991.66666666666,23008.333333333332,9.55,3.45,18.0
145,Stanislaus,2016,221766.66666666666,242750.0,20983.333333333332,8.633333333333333,1.78,10.0
146,Stanislaus,2017,223883.33333333334,242133.33333333334,18241.666666666668,7.533333333333332,2.45,13.0
147,Stanislaus,2018,227250.0,243091.66666666666,15833.333333333334,6.508333333333333,4.63,28.0
148,Stanislaus,2019,227525.0,242441.66666666666,14925.0,6.158333333333332,6.34,34.0
149,Stanislaus,2020,214883.33333333334,240641.66666666666,25750.0,10.725,12.45,68.0
150,Modoc,2015,3019.1666666666665,3302.5,284.1666666666667,8.658333333333333,7.16,1.0
151,Modoc,2016,3035.0,3291.6666666666665,258.3333333333333,7.875,0.0,0.0
152,Modoc,2017,2934.1666666666665,3195.8333333333335,262.5,8.200000000000001,23.58,3.0
153,Modoc,2018,2915.8333333333335,3155.8333333333335,239.16666666666666,7.666666666666665,0.0,0.0
154,Modoc,2019,2945.8333333333335,3175.8333333333335,228.33333333333334,7.266666666666667,0.0,0.0
155,Modoc,2020,2899.1666666666665,3170.0,271.6666666666667,8.549999999999999,0.0,0.0
156,Mono,2015,7732.5,8240.0,508.3333333333333,6.199999999999999,0.0,0.0
157,Mono,2016,7914.166666666667,8365.833333333334,451.6666666666667,5.400000000000001,0.0,0.0
158,Mono,2017,8112.5,8490.833333333334,380.0,4.4833333333333325,0.0,0.0
159,Mono,2018,8082.5,8426.666666666666,343.3333333333333,4.075,0.0,0.0
160,Mono,2019,8183.333333333333,8505.0,320.0,3.7833333333333337,0.0,0.0
161,Mono,2020,6917.5,7845.833333333333,928.3333333333334,12.458333333333334,0.0,0.0
162,Napa,2015,70291.66666666667,73725.0,3433.3333333333335,4.6499999999999995,3.95,5.0
163,Napa,2016,69808.33333333333,72933.33333333333,3158.3333333333335,4.308333333333333,0.0,0.0
164,Napa,2017,70583.33333333333,73291.66666666667,2691.6666666666665,3.6583333333333337,0.0,0.0
165,Napa,2018,71575.0,73783.33333333333,2191.6666666666665,2.983333333333333,1.34,3.0
166,Napa,2019,71058.33333333333,73216.66666666667,2116.6666666666665,2.9,2.29,3.0
167,Napa,2020,62850.0,68858.33333333333,6025.0,8.8,3.96,6.0
168,Nevada,2015,45387.5,48006.666666666664,2620.8333333333335,5.458333333333333,1.3,2.0
169,Nevada,2016,45839.166666666664,48145.833333333336,2309.1666666666665,4.800000000000001,5.88,5.0
170,Nevada,2017,46321.666666666664,48320.833333333336,2000.0,4.141666666666667,3.73,4.0
171,Nevada,2018,46851.666666666664,48565.833333333336,1713.3333333333333,3.516666666666666,2.43,3.0
172,Nevada,2019,46746.666666666664,48393.333333333336,1646.6666666666667,3.391666666666667,7.69,7.0
173,Nevada,2020,42787.5,46490.0,3701.6666666666665,8.058333333333334,28.21,26.0
174,Ventura,2015,402975.0,427233.3333333333,24258.333333333332,5.675,2.88,29.0
175,Ventura,2016,403083.3333333333,425333.3333333333,22266.666666666668,5.233333333333333,3.0,27.0
176,Ventura,2017,404741.6666666667,423925.0,19175.0,4.525,7.34,64.0
177,Ventura,2018,406816.6666666667,423083.3333333333,16266.666666666666,3.8416666666666663,8.52,73.0
178,Ventura,2019,405891.6666666667,421358.3333333333,15491.666666666666,3.6750000000000003,7.5,68.0
179,Ventura,2020,373900.0,408883.3333333333,34958.333333333336,8.591666666666667,14.6,120.0
180,Placer,2015,167358.33333333334,176333.33333333334,8983.333333333334,5.1000000000000005,3.08,12.0
181,Placer,2016,171566.66666666666,179650.0,8075.0,4.483333333333333,2.71,10.0
182,Placer,2017,174291.66666666666,181358.33333333334,7050.0,3.891666666666666,3.15,12.0
