SORTORDER,BMYEAR,AREA,INCLUDES,BREAKS,PNCO,SS-NAICS,TITLE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,2020,000000,,,1,00-000010,Civilian Labor Force,"15,141,700","15,130,500","15,303,900","15,262,300","15,266,400","15,272,600","15,399,700","15,806,300","16,174,100","16,444,100","16,837,500","17,096,400","17,246,500","17,271,900","17,374,500","17,537,900","17,661,200","17,910,700","18,179,900","18,306,000","18,370,500","18,406,800","18,484,900","18,565,400","18,676,700","18,824,100","19,012,000","19,173,800","19,263,900","19,353,700","18,821,200",
2,2020,000000,,,1,00-000020,  Civilian Employment,"14,267,900","13,949,700","13,871,400","13,809,100","13,943,500","14,068,300","14,268,100","14,795,200","15,213,300","15,576,800","16,011,600","16,160,500","16,081,500","16,081,500","16,293,600","16,593,600","16,797,800","16,955,400","16,856,100","16,193,100","16,078,500","16,220,600","16,541,000","16,887,900","17,264,500","17,647,400","17,965,400","18,246,800","18,442,400","18,550,500","16,913,100",
3,2020,000000,,,1,00-000030,  Civilian Unemployment,"873,800","1,180,800","1,432,500","1,453,200","1,322,800","1,204,300","1,131,600","1,011,100","960,700","867,300","825,900","935,900","1,165,100","1,190,400","1,081,000","944,300","863,300","955,300","1,323,800","2,112,800","2,292,100","2,186,200","1,943,800","1,677,500","1,412,200","1,176,700","1,046,600","927,000","821,500","803,200","1,908,100",
4,2020,000000,,,1,00-000040,Civilian Unemployment Rate,5.8%,7.8%,9.4%,9.5%,8.7%,7.9%,7.3%,6.4%,5.9%,5.3%,4.9%,5.5%,6.8%,6.9%,6.2%,5.4%,4.9%,5.3%,7.3%,11.5%,12.5%,11.9%,10.5%,9.0%,7.6%,6.3%,5.5%,4.8%,4.3%,4.2%,10.1%,
8,2020,000000,"110000-813000, 920000",,2,01-000000,"Total, All Industries","12,903,500","12,749,200","12,559,800","12,457,900","12,592,300","12,851,500","13,214,100","13,615,500","14,095,000","14,498,600","14,995,500","15,099,900","14,973,600","14,951,000","15,135,300","15,424,000","15,701,700","15,845,500","15,689,400","14,810,900","14,666,200","14,824,200","15,161,400","15,563,600","15,992,500","16,474,600","16,906,000","17,249,700","17,594,400","17,853,100","16,547,900",
9,2020,000000,"111000-113200, 114000-115000",,1,11-000000,  Total Farm,"363,600","342,000","351,600","362,300","379,700","373,700","408,400","413,100","406,300","404,100","408,600","379,600","372,800","375,200","386,500","378,300","375,300","383,800","389,500","371,900","382,900","389,600","399,600","412,500","416,500","422,400","425,500","422,600","421,800","422,700","407,300",
10,2020,000000,"113000, 210000-813000, 92000",,1,00-000000,  Total Nonfarm,"12,539,900","12,407,200","12,208,100","12,095,600","12,212,600","12,477,800","12,805,700","13,202,400","13,688,700","14,094,400","14,587,000","14,720,200","14,600,800","14,575,700","14,748,800","15,045,700","15,326,400","15,461,700","15,300,000","14,439,000","14,283,300","14,434,700","14,761,700","15,151,100","15,576,000","16,052,200","16,480,600","16,827,000","17,172,600","17,430,400","16,140,500",
11,2020,000000,"113000, 210000-813000",,1,05-000000,    Total Private,"10,465,100","10,316,600","10,112,500","10,015,000","10,119,400","10,370,800","10,692,400","11,061,700","11,522,700","11,855,100","12,268,900","12,338,200","12,153,700","12,149,700","12,351,100","12,625,600","12,874,200","12,967,100","12,781,100","11,959,400","11,834,900","12,029,800","12,385,500","12,776,800","13,162,000","13,589,200","13,964,800","14,272,800","14,591,000","14,833,000","13,653,400",
12,2020,000000,,,1,06-000000,    Goods Producing,"2,648,500","2,489,500","2,319,800","2,188,100","2,189,900","2,244,800","2,318,400","2,406,100","2,497,800","2,539,500","2,614,500","2,586,500","2,430,800","2,362,400","2,394,900","2,432,800","2,448,200","2,383,500","2,243,500","1,933,200","1,832,400","1,842,600","1,878,800","1,928,400","1,983,800","2,061,700","2,107,900","2,144,800","2,206,600","2,234,500","2,136,700",
13,2020,000000,"10000000, 20000000",,1,15-000000,"     Mining, Logging and Construction","678,400","594,100","524,300","486,400","500,500","524,100","540,600","579,700","640,900","709,300","758,200","804,700","796,400","817,800","871,600","927,300","957,100","917,400","814,500","647,200","584,600","588,100","618,500","666,000","703,700","758,500","798,000","832,200","882,500","907,700","874,900",
14,2020,000000,"1133000, 210000",,1,10-000000,      Mining and Logging,"33,300","31,500","28,700","26,800","24,400","23,600","23,300","23,600","25,300","24,300","24,700","24,100","21,900","20,900","21,100","21,900","23,300","24,600","26,600","24,000","24,600","26,700","28,300","28,300","29,300","26,400","22,300","21,900","22,400","22,500","19,800",
15,2020,000000,,,1,10-113300,        Logging,"5,200","4,500","4,400","4,300","4,100","4,200","4,400","4,300","3,900","3,800","3,500","3,000","2,800","2,600","2,400","2,300","2,200","2,400","2,300","1,600","1,800","1,900","1,800","2,000","2,000","2,000","1,800","2,000","2,100","2,000","1,900",
16,2020,000000,,,1,10-210000,        Mining,"28,100","27,000","24,300","22,600","20,300","19,300","19,000","19,400","21,400","20,500","21,200","21,100","19,100","18,300","18,700","19,600","21,100","22,200","24,200","22,400","22,800","24,900","26,500","26,400","27,300","24,500","20,400","19,900","20,400","20,500","17,900",
17,2020,000000,,,1,10-211000,          Oil & Gas Extraction,"5,800","4,300","4,300","3,900","3,600","2,800","2,000","1,600","4,200","4,700","4,800","4,600","4,300","4,100","4,000","4,000","3,900","3,900","5,200","5,500","5,600","6,000","6,500","6,300","6,400","6,600","6,000","5,200","4,800","4,600","4,300",
18,2020,000000,,,1,10-212000,"          Mining, except Oil & Gas","9,300","8,800","8,400","7,800","7,300","7,100","7,800","7,700","7,300","7,500","7,300","7,000","6,400","6,300","6,300","6,500","6,600","6,500","6,100","5,400","5,200","5,300","5,300","5,400","5,500","5,400","5,100","5,400","5,800","5,900","5,800",
19,2020,000000,,,1,10-213000,          Support Activities for Mining,"13,000","13,800","11,600","10,800","9,400","9,400","9,300","10,100","9,900","8,300","9,200","9,500","8,300","8,000","8,300","9,100","10,600","11,900","13,000","11,400","12,100","13,600","14,700","14,700","15,300","12,500","9,400","9,300","9,800","10,000","7,700",
20,2020,000000,,,1,20-000000,      Construction,"645,200","562,600","495,700","459,500","476,100","500,600","517,300","556,100","615,600","685,000","733,500","780,500","774,500","796,900","850,500","905,400","933,800","892,800","787,900","623,300","560,000","561,500","590,200","637,700","674,400","732,100","775,700","810,300","860,200","885,200","855,100",
21,2020,000000,,,1,20-236000,        Construction of Buildings,"167,900","138,400","118,400","107,700","113,300","119,200","120,400","126,500","141,700","157,000","167,300","176,900","176,200","182,500","195,700","212,200","221,800","212,900","186,700","145,700","131,400","131,800","137,100","146,000","155,200","165,200","174,700","183,600","196,500","204,200","198,500",
22,2020,000000,,,1,20-236100,          Residential Building Construction,"104,700","83,300","70,200","62,500","64,900","67,800","68,700","71,200","82,000","93,200","100,000","108,600","111,100","118,900","130,300","144,700","150,900","140,000","115,600","87,300","77,900","77,500","80,100","87,500","94,200","98,700","102,700","106,600","114,700","120,300","118,300",
23,2020,000000,,,1,20-236200,          Nonresidential Building Construction,"63,300","55,100","48,300","45,300","48,400","51,400","51,700","55,300","59,700","63,800","67,300","68,300","65,100","63,600","65,400","67,500","71,000","72,800","71,100","58,500","53,400","54,200","57,000","58,500","61,000","66,600","72,000","77,100","81,800","83,900","80,100",
24,2020,000000,,,1,20-237000,        Heavy & Civil Engineering Construction,"95,400","83,400","75,300","72,000","69,500","72,000","70,600","72,000","75,500","80,900","85,000","88,700","88,900","84,600","85,200","89,700","92,500","91,200","83,800","70,200","65,500","68,600","76,000","77,600","77,800","80,700","82,400","85,400","90,300","92,700","91,500",
25,2020,000000,,,1,20-237100,          Utility System Construction,"31,500","28,300","25,000","24,100","24,100","25,600","25,300","25,600","27,600","29,400","31,800","32,900","33,100","31,300","32,400","35,300","37,600","39,800","38,600","32,400","30,800","33,500","38,000","39,200","40,400","42,300","43,400","45,000","47,700","48,500","47,100",
26,2020,000000,,,1,20-237200,          Land Subdivision,"20,700","15,800","12,700","10,700","9,900","10,200","10,500","10,900","11,900","13,400","14,100","15,000","14,800","15,100","15,000","16,400","17,600","15,100","11,700","8,700","8,000","8,000","7,700","7,700","7,800","7,700","7,700","7,400","7,000","7,000","6,800",
27,2020,000000,,,1,20-237300,"          Highway, Street, & Bridge Construction","26,400","23,100","22,400","23,300","22,400","22,900","24,200","25,200","25,400","27,100","27,800","29,200","29,800","28,200","27,600","27,700","27,700","26,700","24,600","21,200","19,800","20,000","20,900","21,900","21,700","22,600","23,400","24,100","25,600","26,400","26,800",
28,2020,000000,,,1,20-237900,          Other Heavy & Civil Engineering Construction,"16,900","16,100","15,200","13,900","13,100","13,300","10,600","10,300","10,500","11,000","11,300","11,600","11,200","10,000","10,300","10,400","9,700","9,600","9,000","7,900","6,900","7,100","9,400","8,700","7,800","8,100","7,900","8,900","10,000","10,800","10,900",
29,2020,000000,,,1,20-238000,        Specialty Trade Contractors,"381,900","340,900","301,900","279,900","293,300","309,400","326,200","357,600","398,400","447,100","481,200","515,000","509,400","529,800","569,500","603,400","619,500","588,700","517,400","407,400","363,200","361,100","377,100","414,200","441,500","486,100","518,600","541,300","573,300","588,200","565,200",
30,2020,000000,,,1,20-238100,          Building Foundation & Exterior Contractors,"81,000","73,200","66,100","61,600","64,000","69,700","74,700","82,400","93,400","104,400","112,800","121,700","122,300","133,600","145,100","157,100","158,600","142,500","115,200","83,500","73,500","72,700","75,200","83,000","89,200","100,500","109,600","119,000","129,000","128,500","125,600",
31,2020,000000,,,1,20-238200,          Building Equipment Contractors,"139,700","124,500","110,900","104,500","108,800","113,900","119,800","130,800","144,000","158,700","172,000","181,100","174,600","175,500","184,200","192,400","199,100","202,400","191,200","161,200","147,700","150,000","159,000","173,700","184,200","204,500","219,200","224,400","234,800","245,100","237,500",
32,2020,000000,,,1,20-238300,          Building Finishing Contractors,"107,700","98,700","86,300","77,700","82,900","86,400","90,300","99,200","111,800","128,800","139,500","151,600","151,100","158,400","173,800","183,900","188,500","170,200","145,000","110,500","93,500","89,400","92,600","103,600","110,100","119,600","127,600","133,300","142,000","146,500","137,600",
33,2020,000000,,,1,20-238900,           Other Specialty Trade Contractors,"53,500","44,400","38,600","36,000","37,700","39,300","41,500","45,300","49,200","55,100","57,000","60,600","61,400","62,400","66,600","70,100","73,300","73,600","65,900","52,200","48,500","49,000","50,300","53,900","58,000","61,600","62,200","64,600","67,500","68,200","64,500",
34,2020,000000,310000-330000,,1,30-000000,      Manufacturing,"1,970,000","1,895,400","1,795,500","1,701,800","1,689,400","1,720,600","1,777,800","1,826,400","1,856,900","1,830,300","1,856,300","1,781,900","1,634,400","1,544,600","1,523,300","1,505,500","1,491,100","1,466,200","1,429,000","1,286,000","1,247,800","1,254,400","1,260,300","1,262,400","1,280,100","1,303,200","1,310,000","1,312,600","1,324,000","1,326,800","1,261,700",
35,2020,000000,"321000, 327000-330000",,1,31-000000,        Durable Goods,"1,325,800","1,249,800","1,161,000","1,085,700","1,064,500","1,083,400","1,131,400","1,173,800","1,205,900","1,184,400","1,211,400","1,167,000","1,051,800","981,400","969,200","963,200","952,600","933,800","906,300","805,800","779,400","788,000","791,800","791,700","803,900","820,600","823,000","828,400","845,400","850,100","817,700",
36,2020,000000,,,1,31-321000,          Wood Product Manufacturing,"46,200","40,700","37,200","35,600","37,700","38,400","39,100","41,100","42,900","44,100","44,600","42,600","40,500","39,500","39,400","39,100","37,600","33,300","28,900","22,600","21,000","19,900","20,000","21,200","22,200","22,800","23,800","24,100","25,400","26,100","25,400",
38,2020,000000,,,1,31-321900,            Other Wood Product Manufacturing,"30,600","27,300","24,300","22,900","24,100","24,300","25,100","26,800","27,600","28,300","28,900","27,600","25,800","24,700","24,400","24,400","23,700","21,400","19,800","16,200","15,100","13,900","14,100","14,600","15,500","15,900","16,900","17,100","18,000","18,700","18,100",
40,2020,000000,,,1,31-327000,          Nonmetallic Mineral Product Manufacturing,"54,400","47,100","43,100","40,900","41,200","41,600","42,500","44,100","44,900","46,500","48,200","47,800","46,000","45,000","45,700","47,200","47,100","44,700","38,800","31,200","28,700","28,000","28,200","28,900","30,200","31,300","31,600","31,900","32,600","32,500","30,500",
41,2020,000000,,,1,31-331000,          Primary Metal Manufacturing,"35,300","32,600","29,100","28,000","27,900","28,300","29,200","29,800","31,100","30,500","31,200","29,300","27,100","25,400","25,400","25,300","25,100","24,800","24,100","19,800","19,100","19,900","20,000","19,200","18,800","18,300","17,400","17,300","17,100","17,000","15,800",
44,2020,000000,,,1,31-332000,          Fabricated Metal Product Manufacturing,"154,700","149,100","140,100","135,700","139,700","149,100","158,000","166,900","170,700","167,900","173,800","164,400","147,100","139,400","140,900","140,900","142,000","142,300","140,400","119,400","116,200","120,500","124,500","126,600","130,400","132,600","130,500","131,100","132,900","132,700","124,200",
45,2020,000000,,,1,31-332300,            Architectural & Structural Metals Manufacturing,"34,100","31,000","28,700","27,500","29,400","31,000","32,900","34,500","36,000","38,000","40,600","38,400","35,400","34,800","35,800","36,400","37,100","35,900","34,500","27,800","26,400","26,900","27,600","28,000","30,000","31,100","31,400","32,100","33,700","33,500","32,100",
46,2020,000000,,,1,31-332700,            Machine Shops & Threaded Product Manufacturing,"42,800","39,600","35,700","33,500","34,100","38,000","42,300","46,200","48,500","44,200","46,100","43,700","39,100","37,500","39,900","40,200","41,900","43,600","44,700","38,500","38,400","40,600","42,000","42,900","43,900","44,100","42,800","43,000","43,100","43,600","40,400",
48,2020,000000,,,1,31-332900,            Other Fabricated Metal Product Manufacturing,"26,400","25,700","24,100","22,900","22,500","22,500","23,000","23,500","23,500","23,600","24,200","23,500","20,600","19,200","18,500","18,100","17,600","17,900","18,100","16,400","15,800","16,400","17,600","18,200","17,700","17,900","17,900","18,000","18,000","17,800","16,600",
50,2020,000000,,,1,31-333000,          Machinery Manufacturing,"99,200","96,800","91,600","89,500","90,900","95,800","100,200","105,000","109,100","104,200","108,700","104,900","92,700","86,600","84,000","82,300","79,800","79,500","78,300","69,200","68,000","71,000","72,400","72,500","73,100","74,200","74,200","75,200","77,300","77,800","73,900",
51,2020,000000,,,1,31-333200,            Industrial Machinery Manufacturing,"12,600","12,700","12,600","13,400","15,000","18,200","21,300","21,200","21,400","18,700","20,400","21,600","18,600","16,700","15,600","15,600","15,300","15,700","15,600","13,400","13,200","13,800","14,100","13,900","14,700","15,700","16,700","18,500","20,500","20,800","20,400",
52,2020,000000,,,1,31-333300,            Commercial & Service Industry Manufacturing,"21,400","21,400","20,500","19,700","19,900","20,100","21,400","22,500","23,700","24,200","27,100","24,900","20,800","18,800","17,700","16,600","15,000","13,700","13,100","11,300","10,800","11,400","11,500","11,700","11,800","12,400","12,400","12,200","11,800","11,700","10,300",
53,2020,000000,,,1,31-333500,            Metalworking Machinery Manufacturing,"12,700","12,300","12,100","12,000","12,300","13,500","14,400","15,700","16,500","15,600","16,000","15,000","13,600","13,100","13,200","13,500","13,600","13,400","13,600","11,600","11,100","11,500","12,100","12,500","12,500","12,400","12,000","12,100","12,200","12,200","11,300",
55,2020,000000,,,1,31-333900,            Other General Purpose Machinery Manufacturing,"31,900","30,900","28,000","26,700","25,600","25,900","25,500","26,500","27,000","25,600","25,800","23,900","21,100","20,200","19,800","19,200","18,600","18,600","18,400","16,600","15,800","16,700","16,700","16,100","16,100","16,100","16,100","15,600","15,500","15,400","14,900",
57,2020,000000,,,1,31-334000,          Computer & Electronic Product Manufacturing,"449,100","436,300","405,300","384,200","373,000","385,600","408,400","421,000","422,800","409,300","422,500","411,200","354,500","321,900","312,900","311,000","309,200","305,400","301,700","280,600","274,900","278,700","274,100","267,600","267,500","270,900","274,000","273,800","278,400","282,100","282,700",
58,2020,000000,,,1,31-334100,            Computer & Peripheral Equipment Manufacturing,"99,100","94,200","85,700","80,700","72,600","73,400","77,100","82,000","83,200","85,100","87,300","86,700","75,700","68,900","64,700","60,600","57,200","57,100","59,500","57,400","56,600","58,500","60,500","62,700","64,900","68,200","72,700","71,000","74,500","77,800","80,700",
59,2020,000000,,,1,31-334111,               Electronic Computer Manufacturing,"67,500","61,700","55,300","50,300","44,800","46,000","48,000","50,600","52,400","54,000","56,800","58,400","50,900","45,400","42,500","40,600","39,400","40,900","43,800","43,000","43,200","45,000","46,900","49,600","52,200","56,000","60,400","59,300","63,800","66,600","69,300",
61,2020,000000,,,1,31-334200,            Communications Equipment Manufacturing,"34,200","33,400","32,400","32,300","32,800","34,500","37,500","38,300","40,100","40,900","43,500","43,000","33,400","28,300","27,500","27,200","26,100","25,900","27,200","27,000","27,300","27,000","25,100","23,400","21,400","19,200","19,500","19,400","18,300","17,800","17,000",
63,2020,000000,,,1,31-334400,            Semiconductor & Electronic Component Mfg,"118,800","118,100","111,500","109,300","111,800","123,200","133,900","136,500","137,400","132,200","145,000","138,500","111,900","98,300","97,900","100,100","105,100","105,900","103,600","93,000","91,800","95,900","94,500","92,000","91,500","90,200","87,900","86,300","86,500","83,900","81,500",
64,2020,000000,,,1,31-334412,               Bare Printed Circuit Board Manufacturing,"25,700","25,400","24,800","25,300","24,700","27,500","30,300","32,200","33,700","33,100","37,300","31,600","21,200","17,900","17,300","15,500","14,900","14,600","13,400","10,900","10,100","10,000","9,800","9,000","8,600","8,500","8,100","7,900","8,000","8,100","7,800",
65,2020,000000,,,1,31-334413,               Semiconductor & Related Devices Manufacturing,"49,000","50,600","47,900","46,500","47,800","52,700","58,300","61,700","62,200","59,500","64,900","64,500","54,600","48,900","49,000","51,000","54,300","54,200","53,600","50,500","50,100","53,300","52,800","51,300","50,300","49,000","47,600","46,200","45,100","42,800","42,200",
67,2020,000000,,,1,31-334500,            Electronic Instrument Manufacturing,"170,800","163,500","149,700","136,300","127,700","124,100","126,700","130,600","128,800","120,500","118,900","119,600","112,400","106,900","105,000","106,000","105,000","101,700","99,000","91,900","84,300","84,600","81,300","77,600","78,300","82,200","83,100","86,100","88,000","91,800","93,100",
70,2020,000000,,,1,31-335000,          Electrical Equipment & Appliance Manufacturing,"50,200","46,900","42,000","38,700","37,400","37,400","38,100","39,700","41,900","42,200","44,200","44,500","39,900","35,600","33,700","33,000","32,000","32,000","32,400","29,000","28,100","28,700","29,000","29,000","29,700","30,500","31,100","32,100","33,000","32,000","28,300",
71,2020,000000,,,1,31-336000,          Transportation Equipment Manufacturing,"277,300","253,300","231,000","194,600","174,600","162,100","162,800","163,900","169,500","162,400","156,900","147,700","140,100","131,900","135,100","134,700","132,400","129,600","127,000","116,400","110,400","106,900","107,000","107,800","111,400","119,200","119,600","122,100","127,700","130,000","125,200",
72,2020,000000,,,1,31-336100,            Motor Vehicle Manufacturing,"7,100","7,000","7,800","6,600","6,800","7,300","7,500","7,000","7,200","7,700","8,000","8,000","8,500","8,300","8,500","9,100","9,100","9,100","8,800","8,200","5,100","4,200","4,700","5,000","6,500","8,400","9,700","13,900","18,900","17,800","17,600",
74,2020,000000,,,1,31-336400,            Aerospace Product & Parts Manufacturing,"214,500","194,400","172,400","139,400","117,900","102,700","99,900","101,000","106,200","97,900","91,200","86,800","80,000","74,000","75,700","75,300","74,600","74,600","75,600","74,300","74,800","73,400","73,000","73,700","75,900","78,500","76,600","75,300","76,000","78,300","76,000",
75,2020,000000,,,1,31-336600,            Ship & Boat Building,"10,700","10,800","10,700","9,500","9,000","9,400","10,500","9,800","9,700","9,500","9,300","8,500","9,000","8,700","9,900","10,000","9,500","9,900","10,200","9,200","8,500","7,800","7,600","7,400","7,700","8,900","9,400","8,800","8,500","9,100","8,900",
77,2020,000000,,,1,31-337000,          Furniture & Related Product Manufacturing,"73,800","64,400","59,900","57,100","58,500","59,100","62,000","66,900","71,700","75,200","76,900","73,600","68,400","63,500","62,200","60,200","57,100","51,600","45,400","34,800","31,500","31,300","31,300","32,400","34,000","35,000","35,800","35,600","34,900","33,200","29,900",
78,2020,000000,,,1,31-337100,            Household & Institutional Furniture Mfg,"47,300","41,100","38,000","36,000","37,100","37,800","39,700","43,100","46,000","49,100","49,900","48,400","45,400","42,000","41,600","40,100","38,100","34,200","29,500","22,800","20,200","19,800","20,000","20,600","21,600","22,400","22,900","22,500","21,700","19,900","17,600",
80,2020,000000,,,1,31-339000,          Miscellaneous Durable Goods Manufacturing,"85,600","82,500","81,700","81,500","83,700","86,100","91,300","95,400","101,400","102,200","104,500","101,000","95,500","92,600","89,800","89,600","90,400","90,700","89,400","82,800","81,600","83,300","85,400","86,600","86,700","85,800","84,900","85,200","86,200","86,800","81,900",
81,2020,000000,,,1,31-339100,            Medical Equipment & Supplies Manufacturing,"45,500","44,500","43,600","42,800","42,700","42,000","44,200","46,300","49,300","50,800","52,900","52,900","51,200","50,200","49,200","48,900","49,300","50,500","51,100","50,600","51,300","53,100","55,200","55,600","55,700","54,600","54,600","54,100","54,400","55,900","54,300",
82,2020,000000,,,1,31-339900,            Other Miscellaneous Durable Goods Manufacturing,"40,100","38,000","38,100","38,700","41,000","44,000","47,100","49,200","52,000","51,400","51,600","48,100","44,300","42,500","40,600","40,700","41,100","40,200","38,200","32,200","30,300","30,200","30,100","30,900","31,000","31,100","30,300","31,100","31,700","30,900","27,600",
83,2020,000000,"311000-316000, 322000-326000",,1,32-000000,        Nondurable Goods,"644,300","645,600","634,500","616,000","624,900","637,200","646,400","652,600","650,900","645,800","645,000","614,900","582,600","563,200","554,200","542,300","538,400","532,300","522,700","480,100","468,400","466,400","468,400","470,700","476,200","482,500","487,000","484,200","478,700","476,800","444,000",
84,2020,000000,,,1,32-311000,          Food Manufacturing,"174,400","171,400","168,200","161,600","161,100","159,000","160,100","161,100","159,100","158,100","158,300","159,000","156,600","156,900","155,600","154,300","151,900","153,900","153,800","148,700","148,400","150,800","151,700","152,400","154,700","158,200","161,600","163,500","162,400","163,300","154,200",
86,2020,000000,,,1,32-311400,            Fruit & Vegetable Preserving & Specialty Food,"55,600","50,400","49,500","47,900","46,100","43,500","44,900","45,300","43,100","41,900","39,900","39,300","36,600","35,600","35,600","34,700","33,500","34,100","34,500","32,500","31,300","31,300","30,700","29,000","29,900","30,100","28,700","28,800","27,900","27,500","26,000",
87,2020,000000,,,1,32-311500,            Dairy Product Manufacturing,"13,400","14,300","14,900","14,200","13,800","13,800","13,400","13,800","14,200","14,700","15,500","16,000","16,300","16,500","16,500","16,700","16,600","16,700","17,000","17,100","17,100","17,400","17,400","17,600","17,500","17,700","18,100","18,100","17,700","17,400","17,000",
88,2020,000000,,,1,32-311600,            Animal Slaughtering & Processing,"21,800","21,100","19,200","18,200","18,600","18,800","19,000","19,200","19,600","20,500","20,700","20,400","21,700","21,400","21,000","20,700","20,600","21,300","21,500","21,600","21,900","21,300","21,300","21,800","21,400","21,300","22,000","22,000","22,100","22,000","22,000",
89,2020,000000,,,1,32-311800,            Bakeries & Tortilla Manufacturing,"41,400","43,500","42,700","41,400","42,200","42,700","42,700","43,000","43,200","41,500","41,400","41,800","40,900","41,100","39,900","39,900","40,300","40,600","40,000","38,600","38,900","39,900","40,400","40,600","40,900","41,700","43,100","44,200","43,700","43,100","38,100",
90,2020,000000,,,1,32-311900,            Other Food Manufacturing,"15,400","16,900","17,300","18,100","18,600","18,600","17,900","17,400","17,400","17,400","18,600","19,000","19,500","21,300","22,800","22,700","22,500","23,300","23,900","23,400","24,300","26,000","27,100","28,600","30,000","32,000","34,000","34,400","34,500","36,200","34,700",
92,2020,000000,,,1,32-312000,          Beverage & Tobacco Product Manufacturing,"28,200","28,500","28,400","28,900","28,100","27,800","29,400","30,400","31,300","32,100","33,200","35,000","35,400","35,900","37,100","38,100","42,300","43,500","44,700","42,900","42,300","43,100","44,900","47,400","50,900","54,500","57,600","61,200","63,600","64,800","59,800",
93,2020,000000,,,1,32-313000,          Textile Mills,"11,200","11,900","12,300","13,000","14,400","14,900","15,400","16,700","17,100","17,800","17,900","15,600","14,700","13,200","13,500","13,500","12,400","11,600","11,200","9,800","9,200","8,900","8,700","8,800","8,400","8,200","7,300","6,600","6,200","5,800","5,000",
94,2020,000000,,,1,32-314000,          Textile Product Mills,"17,800","16,400","15,900","15,900","17,300","18,300","19,100","20,200","20,100","19,500","19,700","18,500","17,500","17,000","16,000","14,800","14,000","13,400","12,500","10,400","9,400","8,600","8,500","8,700","8,700","8,800","8,800","8,700","8,600","8,800","7,800",
95,2020,000000,,,1,32-315000,          Apparel Manufacturing,"117,000","122,000","121,700","116,300","124,200","134,200","138,000","134,300","129,800","125,300","123,000","106,200","96,100","91,600","87,600","81,100","77,900","74,700","71,500","61,100","58,900","56,900","56,700","57,000","55,000","51,500","47,800","41,300","37,100","34,000","26,500",
96,2020,000000,,,1,32-315100,            Apparel Knitting Mills,"1,900","2,100","2,100","2,200","2,600","3,100","3,800","4,200","4,600","5,000","5,500","5,200","4,500","4,700","5,100","4,500","4,300","4,400","4,100","3,200","2,100","1,700","1,500","1,400","1,400","1,400","1,400","1,200","1,000","1,000",700,
97,2020,000000,,,1,32-315200,            Cut & Sew Apparel Manufacturing,"111,200","114,500","113,900","108,500","115,500","124,700","127,700","123,800","119,300","114,600","112,000","96,200","87,000","82,900","78,300","72,600","69,700","66,500","63,900","55,000","54,300","53,300","53,300","53,600","51,300","47,400","43,800","37,400","33,600","30,700","24,300",
101,2020,000000,,,1,32-322000,          Paper Manufacturing,"37,800","37,400","36,800","36,100","36,000","36,000","36,300","37,000","37,100","36,200","35,500","33,500","31,500","29,700","28,200","28,100","27,700","27,000","25,800","22,800","22,100","22,200","21,300","21,000","21,300","21,800","22,000","21,700","21,300","21,300","20,000",
103,2020,000000,,,1,32-322200,            Converted Paper Product Manufacturing,"31,800","31,400","30,900","30,800","30,700","30,800","31,200","32,200","32,600","31,800","31,000","29,600","28,200","26,300","25,100","25,000","24,700","24,200","23,500","21,100","20,800","21,000","20,200","19,700","20,000","20,600","20,700","20,300","20,100","20,100","18,900",
105,2020,000000,,,1,32-323000,          Printing & Related Support Activities,"87,900","86,800","83,600","80,500","79,100","80,400","80,200","81,900","83,300","82,900","81,800","77,100","69,500","64,100","62,400","60,000","59,600","58,400","56,000","48,900","45,400","43,500","42,500","42,100","42,700","42,200","41,100","40,300","39,200","37,800","32,300",
106,2020,000000,,,1,32-324000,          Petroleum & Coal Products Manufacturing,"28,900","29,700","27,700","23,900","22,500","21,400","20,700","20,100","20,500","19,200","17,900","17,100","16,500","16,600","16,500","15,700","16,000","17,100","17,500","17,300","17,200","16,500","15,600","15,000","14,400","14,000","13,900","13,400","13,000","12,800","12,500",
107,2020,000000,,,1,32-325000,          Chemical Manufacturing,"67,900","69,500","70,500","69,700","68,100","68,600","71,100","73,300","73,600","75,600","77,300","77,300","75,700","73,900","75,000","76,100","77,200","75,000","74,000","69,600","67,900","68,200","70,200","70,700","73,100","76,100","79,400","80,600","80,700","81,700","81,000",
